Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
dorsal metatarsal vein,dorsal metatarsal vein,,,,,,,,,,,,,,cardiovascular system,1,0,114,dorsal metatarsal vein
dorsal nasal artery,dorsal nasal artery,,,,,,,,,,,,,,cardiovascular system,1,0,115,dorsal nasal artery
dorsal nasal vein,dorsal nasal vein,,,,,,,,,,,,,,cardiovascular system,1,0,116,dorsal nasal vein
dorsal penis artery,dorsal penis artery,,,,,,,,,,,,,,cardiovascular system,1,0,117,dorsal penis artery
dorsal penis vein,dorsal penis vein,,,,,,,,,,,,,,cardiovascular system,1,0,118,dorsal penis vein
dorsal spinal vein,dorsal spinal vein,,,,,,,,,,,,,,cardiovascular system,1,0,119,dorsal spinal vein
dorsal vena of penis,dorsal vena of penis,,,,,,,,,,,,,,cardiovascular system,1,0,120,dorsal vena of penis
dorsal venous arch,dorsal venous arch,,,,,,,,,,,,,,cardiovascular system,1,0,121,dorsal venous arch
ductus arteriosis,ductus arteriosis,,,,,,,,,,,,,,cardiovascular system,1,0,122,ductus arteriosis
ductus venosus,ductus venosus,,,,,,,,,,,,,,cardiovascular system,1,0,123,ductus venosus
duodenal vein,duodenal vein,,,,,,,,,,,,,,cardiovascular system,1,0,124,duodenal vein
dural vein,dural vein,,,,,,,,,,,,,,cardiovascular system,1,0,125,dural vein
efferent lymphatic vessel,efferent lymphatic vessel,,,,,,,,,,,,,,cardiovascular system,1,0,126,efferent lymphatic vessel
endocardial cushion,endocardial cushion,,,,,,,,,,,,,,cardiovascular system,1,0,127,endocardial cushion
abdominal aorta,abdominal aorta,Bloodvessels.artery.abdominal.aorta,,,,,,,,,,,,,cardiovascular system,2,38,8,arterial blood vessel
epigastric artery,epigastric artery,,,,,,,,,,,,,,cardiovascular system,1,0,129,epigastric artery
epigastric vein,epigastric vein,,,,,,,,,,,,,,cardiovascular system,1,0,130,epigastric vein
ethmoidal artery,ethmoidal artery,,,,,,,,,,,,,,cardiovascular system,1,0,131,ethmoidal artery
external carotid artery,external carotid artery,,,,,,,,,,,,,,cardiovascular system,1,0,132,external carotid artery
external iliac artery,external iliac artery,,,,,,,,,,,,,,cardiovascular system,1,0,133,external iliac artery
external iliac vein,external iliac vein,,,,,,,,,,,,,,cardiovascular system,1,0,134,external iliac vein
external jugular vein,external jugular vein,,,,,,,,,,,,,,cardiovascular system,1,0,135,external jugular vein
external sural artery,external sural artery,,,,,,,,,,,,,,cardiovascular system,1,0,136,external sural artery
external sural vein,external sural vein,,,,,,,,,,,,,,cardiovascular system,1,0,137,external sural vein
external thoracic vein,external thoracic vein,,,,,,,,,,,,,,cardiovascular system,1,0,138,external thoracic vein
facial artery,facial artery,,,,,,,,,,,,,,cardiovascular system,1,0,139,facial artery
facial vein,facial vein,,,,,,,,,,,,,,cardiovascular system,1,0,140,facial vein
femoral artery,femoral artery,,,,,,,,,,,,,,cardiovascular system,1,0,141,femoral artery
femoral vein,femoral vein,,,,,,,,,,,,,,cardiovascular system,1,0,142,femoral vein
femoro-tibial artery,femoro-tibial artery,,,,,,,,,,,,,,cardiovascular system,1,0,143,femoro-tibial artery
foot blood vessel,foot blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,144,foot blood vessel
foramen ovale,foramen ovale,,,,,,,,,,,,,,cardiovascular system,1,0,145,foramen ovale
forelimb blood vessel,forelimb blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,146,forelimb blood vessel
forelimb common dorsal digital arteries,forelimb common dorsal digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,147,forelimb common dorsal digital arteries
forelimb common dorsal digital vein,forelimb common dorsal digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,148,forelimb common dorsal digital vein
forelimb digital arteries,forelimb digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,149,forelimb digital arteries
forelimb digital veins,forelimb digital veins,,,,,,,,,,,,,,cardiovascular system,1,0,150,forelimb digital veins
forelimb proper dorsal digital arteries,forelimb proper dorsal digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,151,forelimb proper dorsal digital arteries
forelimb proper dorsal digital vein,forelimb proper dorsal digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,152,forelimb proper dorsal digital vein
frontal artery,frontal artery,,,,,,,,,,,,,,cardiovascular system,1,0,153,frontal artery
gastric artery,gastric artery,,,,,,,,,,,,,,cardiovascular system,1,0,154,gastric artery
gastric vein,gastric vein,,,,,,,,,,,,,,cardiovascular system,1,0,155,gastric vein
gastroepiploic artery,gastroepiploic artery,,,,,,,,,,,,,,cardiovascular system,1,0,156,gastroepiploic artery
gastroepiploic vein,gastroepiploic vein,,,,,,,,,,,,,,cardiovascular system,1,0,157,gastroepiploic vein
great saphenous vein,great saphenous vein,,,,,,,,,,,,,,cardiovascular system,1,0,158,great saphenous vein
great vein of heart,great vein of heart,,,,,,,,,,,,,,cardiovascular system,1,0,159,great vein of heart
hand blood vessel,hand blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,160,hand blood vessel
head blood vessel,head blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,161,head blood vessel
head/neck blood vessel,head/neck blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,162,head/neck blood vessel
abdominal aorta,abdominal aorta,Bloodvessels.artery.abdominal.aorta.posterior,,,,"Bloodvessels,_artery,_abdominal_aorta,_posterior",,,,,,,,,cardiovascular system,2,38,8,arterial blood vessel
aorta,aorta,Bloodvessels.artery.aortic.arch,,,Arch_of_aorta,,,Artery_Aorta,Artery - Aorta,,,,,,cardiovascular system,1,0,19,arterial blood vessel
carotid artery,carotid artery,Bloodvessels.artery.carotid,,,,,,,,,,,,,cardiovascular system,2,36,70,arterial blood vessel
heart atrium,heart atrium,,,,,,,,,,,,,,cardiovascular system,1,0,166,heart atrium
heart blood vessel,heart blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,167,heart blood vessel
heart endocardium,heart endocardium,,,,,,,,,,,,,,cardiovascular system,1,0,168,heart endocardium
pulmonary artery,pulmonary artery,Bloodvessels.artery.pulmonary,,,,,,,,,,,,,cardiovascular system,2,41,374,arterial blood vessel
B cell,B cells,,,,,,,,,,,b220.bcell,,CD19,immune system,#N/A,#N/A,927,B cell
basophil,basophil,,,,,,basophil,,,,,,,,immune system,1,0,932,basophil
renal artery,renal artery,Bloodvessels.artery.renal,,,,,,,,,,,,,cardiovascular system,2,42,381,arterial blood vessel
thoracic aorta,thoracic aorta,Bloodvessels.artery.thoracic.aorta,,,,,,,,,,,,,cardiovascular system,2,40,455,arterial blood vessel
vena cava,vena cava,Bloodvessels.vein.posterior.vena.cava,,,,"Bloodvessels,_vein,_posterior_vena_cava",,,,,,,,,cardiovascular system,1,0,497,vena cava
bone,bone,,,,,,,,,,,bone,bone,,musculoskeletal system,1,62,1219,bone
pulmonary vein,pulmonary vein,Bloodvessels.vein.pulmonary,,,,,,,,,,,,,cardiovascular system,2,47,377,vein
bone marrow myeloid cell,bone marrow myeloid cell,,,,,,myeloid.DC,,,,,dendritic_cells_myeloid_CD8a,,,hematopoietic system,1,0,992,bone marrow myeloid cell
long bone epiphysis,long bone epiphysis,Bone.epiphysis,,,,,,,,,,,,,musculoskeletal system,1,0,1427,bone
heart ventricle membranous part,heart ventricle membranous part,,,,,,,,,,,,,,cardiovascular system,1,0,179,heart ventricle membranous part
heart ventricle muscular part,heart ventricle muscular part,,,,,,,,,,,,,,cardiovascular system,1,0,180,heart ventricle muscular part
hepatic artery,hepatic artery,,,,,,,,,,,,,,cardiovascular system,1,0,182,hepatic artery
hepatic portal vein,hepatic portal vein,,,,,,,,,,,,,,cardiovascular system,1,0,183,hepatic portal vein
hindlimb blood vessel,hindlimb blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,184,hindlimb blood vessel
hindlimb common dorsal digital arteries,hindlimb common dorsal digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,185,hindlimb common dorsal digital arteries
hindlimb common dorsal digital vein,hindlimb common dorsal digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,186,hindlimb common dorsal digital vein
hindlimb digital arteries,hindlimb digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,187,hindlimb digital arteries
hindlimb digital veins,hindlimb digital veins,,,,,,,,,,,,,,cardiovascular system,1,0,188,hindlimb digital veins
hindlimb proper dorsal digital arteries,hindlimb proper dorsal digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,189,hindlimb proper dorsal digital arteries
hindlimb proper dorsal digital vein,hindlimb proper dorsal digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,190,hindlimb proper dorsal digital vein
hyoid artery,hyoid artery,,,,,,,,,,,,,,cardiovascular system,1,0,191,hyoid artery
hypogastric vein,hypogastric vein,,,,,,,,,,,,,,cardiovascular system,1,0,192,hypogastric vein
ileal vein,ileal vein,,,,,,,,,,,,,,cardiovascular system,1,0,193,ileal vein
ileocolic artery,ileocolic artery,,,,,,,,,,,,,,cardiovascular system,1,0,194,ileocolic artery
ileocolic vein,ileocolic vein,,,,,,,,,,,,,,cardiovascular system,1,0,195,ileocolic vein
iliac artery,iliac artery,,,,,,,,,,,,,,cardiovascular system,1,0,196,iliac artery
iliac circumflex artery,iliac circumflex artery,,,,,,,,,,,,,,cardiovascular system,1,0,197,iliac circumflex artery
iliac vein,iliac vein,,,,,,,,,,,,,,cardiovascular system,2,46,198,vein
ilio-lumbar artery,ilio-lumbar artery,,,,,,,,,,,,,,cardiovascular system,1,0,199,ilio-lumbar artery
ilio-lumbar vein,ilio-lumbar vein,,,,,,,,,,,,,,cardiovascular system,1,0,200,ilio-lumbar vein
impulse conducting system,impulse conducting system,,,,,,,,,,,,,,cardiovascular system,1,0,201,impulse conducting system
inferior cerebellar vein,inferior cerebellar vein,,,,,,,,,,,,,,cardiovascular system,1,0,202,inferior cerebellar vein
inferior cerebral vein,inferior cerebral vein,,,,,,,,,,,,,,cardiovascular system,1,0,203,inferior cerebral vein
inferior epigastric artery,inferior epigastric artery,,,,,,,,,,,,,,cardiovascular system,1,0,204,inferior epigastric artery
inferior external pudendal vein,inferior external pudendal vein,,,,,,,,,,,,,,cardiovascular system,1,0,205,inferior external pudendal vein
inferior mesenteric artery,inferior mesenteric artery,,,,,,,,,,,,,,cardiovascular system,1,0,206,inferior mesenteric artery
inferior mesenteric vein,inferior mesenteric vein,,,,,,,,,,,,,,cardiovascular system,1,0,207,inferior mesenteric vein
inferior palpebral vein,inferior palpebral vein,,,,,,,,,,,,,,cardiovascular system,1,0,208,inferior palpebral vein
inferior pancreatico-duodenal artery,inferior pancreatico-duodenal artery,,,,,,,,,,,,,,cardiovascular system,1,0,209,inferior pancreatico-duodenal artery
inferior pancreatico-duodenal vein,inferior pancreatico-duodenal vein,,,,,,,,,,,,,,cardiovascular system,1,0,210,inferior pancreatico-duodenal vein
inferior phrenic vein,inferior phrenic vein,,,,,,,,,,,,,,cardiovascular system,1,0,211,inferior phrenic vein
inferior rectal artery,inferior rectal artery,,,,,,,,,,,,,,cardiovascular system,1,0,212,inferior rectal artery
inferior suprarenal artery,inferior suprarenal artery,,,,,,,,,,,,,,cardiovascular system,1,0,213,inferior suprarenal artery
inferior suprarenal vein,inferior suprarenal vein,,,,,,,,,,,,,,cardiovascular system,1,0,214,inferior suprarenal vein
inferior vena cava,inferior vena cava,,,,,,,,,,,,,,cardiovascular system,2,45,215,vein
inferior vesical artery,inferior vesical artery,,,,,,,,,,,,,,cardiovascular system,1,0,216,inferior vesical artery
inferior vesical vein,inferior vesical vein,,,,,,,,,,,,,,cardiovascular system,1,0,217,inferior vesical vein
infraorbital artery,infraorbital artery,,,,,,,,,,,,,,cardiovascular system,1,0,218,infraorbital artery
intercostal artery,intercostal artery,,,,,,,,,,,,,,cardiovascular system,1,0,219,intercostal artery
internal carotid artery,internal carotid artery,,,,,,,,,,,,,,cardiovascular system,1,0,220,internal carotid artery
internal iliac artery,internal iliac artery,,,,,,,,,,,,,,cardiovascular system,1,0,221,internal iliac artery
internal iliac vein,internal iliac vein,,,,,,,,,,,,,,cardiovascular system,1,0,222,internal iliac vein
internal jugular vein,internal jugular vein,,,,,,,,,,,,,,cardiovascular system,1,0,223,internal jugular vein
internal mammary artery,internal mammary artery,,,,,,,,,,,,,,cardiovascular system,1,0,224,internal mammary artery
internal mammary vein,internal mammary vein,,,,,,,,,,,,,,cardiovascular system,1,0,225,internal mammary vein
internal spermatic artery,internal spermatic artery,,,,,,,,,,,,,,cardiovascular system,1,0,226,internal spermatic artery
internal spermatic vein,internal spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,227,internal spermatic vein
internal thoracic artery,internal thoracic artery,,,,,,,,,,,,,,cardiovascular system,1,0,228,internal thoracic artery
internal thoracic vein,internal thoracic vein,,,,,,,,,,,,,,cardiovascular system,1,0,229,internal thoracic vein
intersegmental artery,intersegmental artery,,,,,,,,,,,,,,cardiovascular system,1,0,230,intersegmental artery
ischiatic vein,ischiatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,231,ischiatic vein
jejunal vein,jejunal vein,,,,,,,,,,,,,,cardiovascular system,1,0,232,jejunal vein
jugular vein,jugular vein,,,,,,,,,,,,,,cardiovascular system,1,0,233,jugular vein
kidney subcortical arteries,kidney subcortical arteries,,,,,,,,,,,,,,cardiovascular system,1,0,234,kidney subcortical arteries
kidney subcortical veins,kidney subcortical veins,,,,,,,,,,,,,,cardiovascular system,1,0,235,kidney subcortical veins
labial artery,labial artery,,,,,,,,,,,,,,cardiovascular system,1,0,236,labial artery
lacrimal artery,lacrimal artery,,,,,,,,,,,,,,cardiovascular system,1,0,237,lacrimal artery
lateral caudal vein,lateral caudal vein,,,,,,,,,,,,,,cardiovascular system,1,0,238,lateral caudal vein
lateral dorsal digital artery for digit 05,lateral dorsal digital artery for digit 05,,,,,,,,,,,,,,cardiovascular system,1,0,239,lateral dorsal digital artery for digit 05
lateral dorsal digital vein 05,lateral dorsal digital vein 05,,,,,,,,,,,,,,cardiovascular system,1,0,240,lateral dorsal digital vein 05
lateral marginal vein,lateral marginal vein,,,,,,,,,,,,,,cardiovascular system,1,0,241,lateral marginal vein
lateral saphenous vein,lateral saphenous vein,,,,,,,,,,,,,,cardiovascular system,1,0,242,lateral saphenous vein
lateral thoracic artery,lateral thoracic artery,,,,,,,,,,,,,,cardiovascular system,1,0,243,lateral thoracic artery
lateral thoracic vein,lateral thoracic vein,,,,,,,,,,,,,,cardiovascular system,1,0,244,lateral thoracic vein
left atrium auricular region,left atrium auricular region,,,,,,,,,,,,,,cardiovascular system,1,0,245,left atrium auricular region
left common carotid artery,left common carotid artery,,,,,,,,,,,,,,cardiovascular system,1,0,246,left common carotid artery
left coronary artery,left coronary artery,Bloodvessels.artery.coronary.artery.left,,,,,,,,,,,,,cardiovascular system,2,34,247,arterial blood vessel
left coronary artery,,Bloodvessels.artery.coronary.artery.left.circumflex,,,,,,,,,,,,,cardiovascular system,2,34,247,arterial blood vessel
left dorsal aorta,left dorsal aorta,,,,,,,,,,,,,,cardiovascular system,1,0,248,left dorsal aorta
left hepatico-cardiac vein,left hepatico-cardiac vein,,,,,,,,,,,,,,cardiovascular system,1,0,249,left hepatico-cardiac vein
left internal spermatic vein,left internal spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,250,left internal spermatic vein
left pulmonary artery,left pulmonary artery,,,,,,,,,,,,,,cardiovascular system,1,0,251,left pulmonary artery
left pulmonary vein,left pulmonary vein,,,,,,,,,,,,,,cardiovascular system,1,0,252,left pulmonary vein
left renal artery,left renal artery,,,,,,,,,,,,,,cardiovascular system,1,0,253,left renal artery
left renal vein,left renal vein,,,,,,,,,,,,,,cardiovascular system,1,0,254,left renal vein
left spermatic artery,left spermatic artery,,,,,,,,,,,,,,cardiovascular system,1,0,255,left spermatic artery
left spermatic vein,left spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,256,left spermatic vein
left subclavian artery,left subclavian artery,,,,,,,,,,,,,,cardiovascular system,1,0,257,left subclavian artery
left ventricle membranous part,left ventricle membranous part,,,,,,,,,,,,,,cardiovascular system,1,0,258,left ventricle membranous part
left ventricle muscular part,left ventricle muscular part,,,,,,,,,,,,,,cardiovascular system,1,0,259,left ventricle muscular part
leg blood vessel,leg blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,260,leg blood vessel
lienal artery,lienal artery,,,,,,,,,,,,,,cardiovascular system,1,0,261,lienal artery
lienal vein,lienal vein,,,,,,,,,,,,,,cardiovascular system,1,0,262,lienal vein
lieno-gastric artery,lieno-gastric artery,,,,,,,,,,,,,,cardiovascular system,1,0,263,lieno-gastric artery
lieno-pancreatic vein,lieno-pancreatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,264,lieno-pancreatic vein
limb blood vessel,limb blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,265,limb blood vessel
lingual artery,lingual artery,,,,,,,,,,,,,,cardiovascular system,1,0,266,lingual artery
linguofacial vein,linguofacial vein,,,,,,,,,,,,,,cardiovascular system,1,0,267,linguofacial vein
lower arm blood vessel,lower arm blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,268,lower arm blood vessel
lower back blood vessel,lower back blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,269,lower back blood vessel
lower leg blood vessel,lower leg blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,270,lower leg blood vessel
lung blood vessel,lung blood vessel,,,,,,,,,,,,,,cardiovascular system,2,43,271,arterial blood vessel
lymphatic vessel,lymphatic vessel,,,,,,,,,,,,,,cardiovascular system,1,0,272,lymphatic vessel
lymphatic vessel endothelium,lymphatic vessel endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,273,lymphatic vessel endothelium
lymphatic vessel smooth muscle,lymphatic vessel smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,274,lymphatic vessel smooth muscle
lymphoblast,lymphoblast,,,,,,,,,,,,,,cardiovascular system,1,0,275,lymphoblast
lymphocyte,lymphocyte,,,,,,,,,,,,,,cardiovascular system,1,0,276,lymphocyte
femur,femur,Bone.femur,,,,,,,,,,,,,musculoskeletal system,2,64,1307,bone
major palatine artery,major palatine artery,,,,,,,,,,,,,,cardiovascular system,1,0,278,major palatine artery
masseteric vein,masseteric vein,,,,,,,,,,,,,,cardiovascular system,1,0,279,masseteric vein
maternal placental artery,maternal placental artery,,,,,,,,,,,,,,cardiovascular system,1,0,280,maternal placental artery
maternal placental vein,maternal placental vein,,,,,,,,,,,,,,cardiovascular system,1,0,281,maternal placental vein
maxillary artery,maxillary artery,,,,,,,,,,,,,,cardiovascular system,1,0,282,maxillary artery
maxillary vein,maxillary vein,,,,,,,,,,,,,,cardiovascular system,1,0,283,maxillary vein
medial femoral artery,medial femoral artery,,,,,,,,,,,,,,cardiovascular system,1,0,284,medial femoral artery
medial femoral circumflex artery,medial femoral circumflex artery,,,,,,,,,,,,,,cardiovascular system,1,0,285,medial femoral circumflex artery
medial femoral vein,medial femoral vein,,,,,,,,,,,,,,cardiovascular system,1,0,286,medial femoral vein
medial marginal vein,medial marginal vein,,,,,,,,,,,,,,cardiovascular system,1,0,287,medial marginal vein
medial plantar artery,medial plantar artery,,,,,,,,,,,,,,cardiovascular system,1,0,288,medial plantar artery
medial plantar vein,medial plantar vein,,,,,,,,,,,,,,cardiovascular system,1,0,289,medial plantar vein
medial saphenous vein,medial saphenous vein,,,,,,,,,,,,,,cardiovascular system,1,0,290,medial saphenous vein
medial tarsal artery,medial tarsal artery,,,,,,,,,,,,,,cardiovascular system,1,0,291,medial tarsal artery
medial tarsal vein,medial tarsal vein,,,,,,,,,,,,,,cardiovascular system,1,0,292,medial tarsal vein
median artery,median artery,,,,,,,,,,,,,,cardiovascular system,1,0,293,median artery
median artery palmar branch,median artery palmar branch,,,,,,,,,,,,,,cardiovascular system,1,0,294,median artery palmar branch
median cubital vein,median cubital vein,,,,,,,,,,,,,,cardiovascular system,1,0,295,median cubital vein
median dorsal digital artery for digit 01,median dorsal digital artery for digit 01,,,,,,,,,,,,,,cardiovascular system,1,0,296,median dorsal digital artery for digit 01
median vein,median vein,,,,,,,,,,,,,,cardiovascular system,1,0,297,median vein
meningeal artery,meningeal artery,,,,,,,,,,,,,,cardiovascular system,1,0,298,meningeal artery
mental artery,mental artery,,,,,,,,,,,,,,cardiovascular system,1,0,299,mental artery
