Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
deep temporal vein,deep temporal vein,,,,,,,,,,,,,,cardiovascular system,1,0,97,deep temporal vein
deferent duct artery,deferent duct artery,,,,,,,,,,,,,,cardiovascular system,1,0,98,deferent duct artery
deferent duct vein,deferent duct vein,,,,,,,,,,,,,,cardiovascular system,1,0,99,deferent duct vein
dendritic cells,dendritic cells,,,,,,,,,,,,,,cardiovascular system,1,0,100,dendritic cells
descending aorta,descending aorta,,,,,,,,,,,,,,cardiovascular system,1,0,101,descending aorta
descending thoracic aorta,descending thoracic aorta,,,,,,,,,,,,,,cardiovascular system,1,0,102,descending thoracic aorta
digital artery,digital artery,,,,,,,,,,,,,,cardiovascular system,1,0,103,digital artery
digital torus vein,digital torus vein,,,,,,,,,,,,,,cardiovascular system,1,0,104,digital torus vein
digital vein,digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,105,digital vein
dorsal aorta,dorsal aorta,,,,,,,,,,,,,,cardiovascular system,1,0,106,dorsal aorta
dorsal artery of foot,dorsal artery of foot,,,,,,,,,,,,,,cardiovascular system,1,0,107,dorsal artery of foot
dorsal cerebellar vein,dorsal cerebellar vein,,,,,,,,,,,,,,cardiovascular system,1,0,108,dorsal cerebellar vein
dorsal cerebral vein,dorsal cerebral vein,,,,,,,,,,,,,,cardiovascular system,1,0,109,dorsal cerebral vein
dorsal intercostal artery,dorsal intercostal artery,,,,,,,,,,,,,,cardiovascular system,1,0,110,dorsal intercostal artery
dorsal intercostal vein,dorsal intercostal vein,,,,,,,,,,,,,,cardiovascular system,1,0,111,dorsal intercostal vein
dorsal mesocardium,dorsal mesocardium,,,,,,,,,,,,,,cardiovascular system,1,0,112,dorsal mesocardium
dorsal metacarpal artery,dorsal metacarpal artery,,,,,,,,,,,,,,cardiovascular system,1,0,113,dorsal metacarpal artery
